Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,Length,Width,Thickness,Thermal Conductivity,Minimum Operating Temperature,Maximum Operating Temperature,,Product,Type,Material,Color,Tensile Strength,Flammability Rating,Packaging,Product Detail
861-TGF2007870787039,TGF20-07870787-039,LeaderTech,https://www.mouser.com/datasheet/2/156/Thermal-Gap-Filler-Product-Profile-1152219.pdf,48  In Stock,0.43419268,200 mm,200 mm,1 mm,2 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Aluminum Oxide Filled Silicone,Blue,0.25 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/LeaderTech/TGF20-07870787-039?qs=1JqqoYsYnNdXB%2FuCeIl8pQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGF20-07870787-039&utm_content=LeaderTech
739-A17634-06,A17634-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD300_Series-1916825.pdf,19  In Stock,0.436790123,228.6 mm,228.6 mm,1.5 mm,2.7 W/m-K,- 40 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Pink,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17634-06?qs=1mbolxNpo8eYc3bCVYuP7A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17634-06&utm_content=Laird-Performance-Materials
739-A14557-01,A14557-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,Non-Stocked,0.437233966,229 mm,229 mm,0.762 mm,2.8 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,66 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14557-01?qs=3IuyYncJTQGAtF4HD6LkRA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14557-01&utm_content=Laird-Performance-Materials
739-A14557-02,A14557-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,Non-Stocked,0.438888889,,,0.5 mm to 5.1 mm,2.8 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14557-02?qs=3IuyYncJTQEtTMHlN6pYDQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14557-02&utm_content=Laird-Performance-Materials
861-TGF5007870787020,TGF50-07870787-020,LeaderTech,https://www.mouser.com/datasheet/2/156/Thermal-Gap-Filler-Product-Profile-1152219.pdf,9  In Stock,0.44338621,200 mm,200 mm,0.5 mm,5 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Aluminum Oxide Filled Silicone,White,0.15 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/LeaderTech/TGF50-07870787-020?qs=1JqqoYsYnNf%2FZkpeu7jjtA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGF50-07870787-020&utm_content=LeaderTech
861-TGF30SF787078739,TGF30SF-07870787-039,LeaderTech,https://www.mouser.com/datasheet/2/156/Thermal-Gap-Filler-Product-Profile-1152219.pdf,49  In Stock,0.44451524,200 mm,200 mm,1 mm,3 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Aluminum Oxide Filled Silicone,White Gray,0.15 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/LeaderTech/TGF30SF-07870787-039?qs=1JqqoYsYnNeAeVxg1WRS3g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGF30SF-07870787-039&utm_content=LeaderTech
739-A17653-03,A17653-03,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,50  In Stock,0.455308642,228.6 mm,228.6 mm,0.76 mm,5 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Pink,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17653-03?qs=YCa%2FAAYMW02dyly7DTGXSA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17653-03&utm_content=Laird-Performance-Materials
739-A17653-03,A17653-03,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,50  In Stock,0.455308642,228.6 mm,228.6 mm,0.76 mm,5 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Pink,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17653-03?qs=YCa%2FAAYMW02dyly7DTGXSA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17653-03&utm_content=Laird-Performance-Materials
739-A18172-16,A18172-16,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tpcm_7000_Data_Sheet_03172023-3194660.pdf,59  In Stock,0.460617284,228.6 mm,228.6 mm,0.4 mm,7.5 W/m-K,- 40 C,+ 125 C,,Thermal Conductive Pad,Thermal Pad,Thermoplastic (TP),Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18172-16?qs=doiCPypUmgGDKh9L8izTAg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18172-16&utm_content=Laird-Performance-Materials
468-COH17061NTT30,COH-1706 (1NT) t3.0,Taica,https://www.mouser.com/datasheet/2/780/COH_1706_English-1669969.pdf,1  In Stock,0.46387004,400 mm,400 mm,3 mm,3.8 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.24 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Taica/COH-1706-1NT-t3.0?qs=SH0Geuu7vjdEJ4JCbqLykw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-1706%20%281NT%29%20t3.0&utm_content=Taica
588-HS250-TP2,HS250-TP2,Ohmite,https://www.ohmite.com/assets/docs/sink_pad_hs.pdf?r=false,83  In Stock,0.464000905,109.7 mm,72.5 mm,0.50 mm,3 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Ohmite/HS250-TP2?qs=pUKx8fyJudBJMraztOs%252BwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HS250-TP2&utm_content=Ohmite
468-COH-4000LVCT0.5,COH-4000LVC t0.5,Taica,https://www.mouser.com/datasheet/2/780/pro_tc1709-1669815.pdf,1  In Stock,0.468426482,400 mm,400 mm,0.5 mm,6.5 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.35 MPa,,Bulk,https://www.mouser.com/ProductDetail/Taica/COH-4000LVC-t0.5?qs=8zSmKHErLQev0q9M26t14w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-4000LVC%20t0.5&utm_content=Taica
739-A12616-08,A12616-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,3  In Stock,0.470318795,457 mm,457 mm,0.508 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-08?qs=3IuyYncJTQHTTZaWvxAfVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-08&utm_content=Laird-Performance-Materials
739-A12616-08,A12616-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,3  In Stock,0.470318795,457 mm,457 mm,0.508 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-08?qs=3IuyYncJTQHTTZaWvxAfVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-08&utm_content=Laird-Performance-Materials
739-A12616-08,A12616-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,3  In Stock,0.470318795,457 mm,457 mm,0.508 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-08?qs=3IuyYncJTQHTTZaWvxAfVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-08&utm_content=Laird-Performance-Materials
710-4051100100017,4.0511E+12,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/4051100100017.pdf,317  In Stock,0.47999904,100 mm,100 mm,0.381 mm,1800 W/m-K,- 50 C,+ 120 C,,Thermal Conductive Graphite Sheet,Thermal Pad,Graphite,,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/4051100100017?qs=e8oIoAS2J1RD4vPT1lHotg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=4051100100017&utm_content=Wurth-Elektronik
739-A17682-020,A17682-020,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_UT20000_Series-2933078.pdf,17  In Stock,0.482592593,228.6 mm,228.6 mm,0.50 mm,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-020?qs=lYGu3FyN48dydJjqNvrq0w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-020&utm_content=Laird-Performance-Materials
710-40104005,40104005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40104005.pdf,1  In Stock,0.485563545,400 mm,200 mm,0.51 mm,4 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Purple,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40104005?qs=e8oIoAS2J1QXxAgbVb9UYg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40104005&utm_content=Wurth-Elektronik
951-GPHC300015020816,GPHC3.0-0.015-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC3000-en_GL.pdf,12  In Stock,0.487265625,406.4 mm,203.2 mm,0.38 mm,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,16 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC3.0-0.015-02-0816?qs=qSfuJ%252Bfl%2Fd7mGMmrHETLlg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC3.0-0.015-02-0816&utm_content=Bergquist-Company
739-A14410-02,A14410-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,33  In Stock,0.492498689,457 mm,457 mm,0.51 mm,3 W/m-K,- 45 C,+ 200 C,,Thermal Gap Fillers,Gap Filler,Ceramic Filled Silicone,Blue-Violet,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14410-02?qs=7MVldsJ5UayQZqrNxZPTfw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14410-02&utm_content=Laird-Performance-Materials
951-GP25002001502816,GP2500S20-0.015-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2400-en_GL.pdf,,0.4940625,406.4 mm,203.2 mm,0.381 mm,2.4 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,,Polymer,Yellow,5 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2500S20-0.015-02-0816?qs=qSfuJ%252Bfl%2Fd6eCP9Nl6XDAA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2500S20-0.015-02-0816&utm_content=Bergquist-Company
739-A16367-41,A16367-41,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked,0.497037037,9 in,9 in,0.01 in,3 W/m-K,- 20 C,+ 125 C,,Thermally Conductive Gap Pad,,Boron Nitride,Red (Rose),,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-41?qs=byeeYqUIh0MNsUKoAe%2FIvA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-41&utm_content=Laird-Performance-Materials
739-A16367-41,A16367-41,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked,0.497037037,9 in,9 in,0.01 in,3 W/m-K,- 20 C,+ 125 C,,Thermally Conductive Gap Pad,,Boron Nitride,Red (Rose),,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-41?qs=byeeYqUIh0MNsUKoAe%2FIvA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-41&utm_content=Laird-Performance-Materials
739-A12616-01,A12616-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,1  In Stock,0.497270594,229 mm,229 mm,0.508 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-01?qs=Sc%252BWShRkqdiS4anNn9t%252BsA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-01&utm_content=Laird-Performance-Materials
468-COH4000LVC20005,COH-4000LVC-200-05,Taica,https://www.mouser.com/datasheet/2/780/pro_tc1709-1669815.pdf,47  In Stock,0.4983861,200 mm,200 mm,0.5 mm,6.5 W/m-K,- 40 C,+ 150 C,,Thermal Interface Pad,,,,0.35 MPa,,,https://www.mouser.com/ProductDetail/Taica/COH-4000LVC-200-05?qs=81r%252BiQLm7BT%252BhpDmsvqUdg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-4000LVC-200-05&utm_content=Taica
739-A17634-07,A17634-07,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD300_Series-1916825.pdf,5  In Stock,0.499012346,228.6 mm,228.6 mm,1.77 mm,2.7 W/m-K,- 40 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Pink,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17634-07?qs=1mbolxNpo8f%2F6C%252BsjShc4Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17634-07&utm_content=Laird-Performance-Materials
951-GP2500S20-02002,GP2500S20-0.020-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2400-en_GL.pdf,218  In Stock,0.50109375,406.4 mm,203.2 mm,0.508 mm,2.4 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Polymer,Yellow,5 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2500S20-0.020-02-0816?qs=jQRjkUoUCJeixJyYQzOqxQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2500S20-0.020-02-0816&utm_content=Bergquist-Company
710-40002020,40002020,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40002020.pdf,2  In Stock,0.501369965,400 mm,200 mm,2 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40002020?qs=e8oIoAS2J1RcSZXaj6mhXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40002020&utm_content=Wurth-Elektronik
710-40002020,40002020,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40002020.pdf,2  In Stock,0.501369965,400 mm,200 mm,2 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40002020?qs=e8oIoAS2J1RcSZXaj6mhXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40002020&utm_content=Wurth-Elektronik
951-GP3500ULMG20-12,GP3500ULM-G-0.020-12-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3500ULM-en_GL.pdf,171  In Stock,0.504140625,406.4 mm,203.2 mm,0.5 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,4 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3500ULM-G-0.020-12-0816?qs=u4fy%2FsgLU9MtOeQJuRS20A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3500ULM-G-0.020-12-0816&utm_content=Bergquist-Company
588-HS300-TP2,HS300-TP2,Ohmite,https://www.ohmite.com/assets/docs/sink_pad_hs.pdf?r=false,38  In Stock,0.505215348,127.7 mm,72.5 mm,0.50 mm,3 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Ohmite/HS300-TP2?qs=pUKx8fyJudAX8EAAnIoHQg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HS300-TP2&utm_content=Ohmite
739-A17556-040,A17556-040,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/RFP_DS_COOLZORB_600_110915_-2933082.pdf,8  In Stock,0.506728395,457.2 mm,457.2 mm,1 mm,3 W/m-K,- 40 C,+ 175 C,,Absorber Sheets & Tiles,Absorbing Sheet,,Gray,50 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17556-040?qs=AgiijzuozRNcdAn5zw5ygA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17556-040&utm_content=Laird-Performance-Materials
951-Q3-0.005-00-86,Q3-0.005-00-86,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2000-en_GL.pdf,"2,376  In Stock",0.512872287,39.62 mm,26.67 mm,0.127 mm,2 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/Q3-0.005-00-86?qs=jQRjkUoUCJdOa2OTtZxAkA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=Q3-0.005-00-86&utm_content=Bergquist-Company
739-A14558-02,A14558-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,9  In Stock,0.515172844,457 mm,457 mm,1.016 mm,2.8 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,66 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14558-02?qs=3IuyYncJTQHZY6kNjVilbQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14558-02&utm_content=Laird-Performance-Materials
739-A12616-19,A12616-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,26  In Stock,0.52064551,229 mm,229 mm,0.508 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,Boron Nitride,Blue-Violet,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-19?qs=3IuyYncJTQG7DZgjvOQJ1w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-19&utm_content=Laird-Performance-Materials
739-A16412-02,A16412-02,Laird Performance Materials,https://www.lairdtech.com/brandworld/library/THR-DS-GAPFILLER 0710.pdf,238  In Stock,0.527745569,,,,3.5 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Adhesive,Silicone Putty,Silicone Elastomer,Turquoise,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16412-02?qs=y%252BUXdTG7cAUoAsB0yMUKNA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16412-02&utm_content=Laird-Performance-Materials
710-40103010,40103010,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40103010.pdf,5  In Stock,0.527982815,400 mm,200 mm,1 mm,3 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40103010?qs=e8oIoAS2J1S863e5Xcwiqw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40103010&utm_content=Wurth-Elektronik
710-40103010,40103010,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40103010.pdf,5  In Stock,0.527982815,400 mm,200 mm,1 mm,3 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40103010?qs=e8oIoAS2J1S863e5Xcwiqw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40103010&utm_content=Wurth-Elektronik
739-A16367-02,A16367-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,7  In Stock,0.52875817,228.6 mm,215.9 mm,0.51 mm,3 W/m-K,- 20 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Boron Nitride,Pink,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-02?qs=%2FPjCoi2vghSP66Xk7hs9Cg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-02&utm_content=Laird-Performance-Materials
710-40114005,40114005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40114005.pdf,14  In Stock,0.5290312,100 mm,100 mm,0.51 mm,4 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Purple,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40114005?qs=e8oIoAS2J1Q8uO7pGp1N4w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40114005&utm_content=Wurth-Elektronik
951-QII-0.006-00-54,QII-0.006-00-54,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2500-en_GL.pdf,"2,900  In Stock",0.533333333,19.05 mm,12.7 mm,0.152 mm,2.5 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/QII-0.006-00-54?qs=unwgFEO1A6vuypjKDm7PFA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=QII-0.006-00-54&utm_content=Bergquist-Company
739-A17536-04,A17536-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,,0.533858025,457.2 mm,457.2 mm,1.01 mm,5 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Pink,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17536-04?qs=YCa%2FAAYMW02tzo3g6VmF5Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17536-04&utm_content=Laird-Performance-Materials
588-HS100-TP2,HS100-TP2,Ohmite,https://www.ohmite.com/assets/docs/sink_pad_hs.pdf?r=false,79  In Stock,0.539542912,65.2 mm,47.5 mm,0.50 mm,3 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Ohmite/HS100-TP2?qs=pUKx8fyJudBuVnH0%2Flfxyw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HS100-TP2&utm_content=Ohmite
739-A18500-01,A18500-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tgard_200_11112022_RevE-3194658.pdf,26  In Stock,0.540069204,431.8 mm,431.8 mm,0.25 mm,5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Fiberglass,White,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18500-01?qs=t7xnP681wgWHJ%252Bas1Dc53g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18500-01&utm_content=Laird-Performance-Materials
951-GF4000-1024050CC,GF4000-10-240-50CC,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_GAP_FILLER_TGF_4000_en_GL-3377447.pdf,Non-Stocked Lead-Time 6 Weeks,0.549074074,,,,4 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Blue, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4000-10-240-50CC?qs=mELouGlnn3etFrj%2F2aIEoQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4000-10-240-50CC&utm_content=Bergquist-Company
951-GF4000-1024050CC,GF4000-10-240-50CC,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_GAP_FILLER_TGF_4000_en_GL-3377447.pdf,Non-Stocked Lead-Time 6 Weeks,0.549074074,,,,4 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Blue, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4000-10-240-50CC?qs=mELouGlnn3etFrj%2F2aIEoQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4000-10-240-50CC&utm_content=Bergquist-Company
468-COH-1706T3.0,COH-1706 t3.0,Taica,https://www.mouser.com/datasheet/2/780/COH_1706_English-1669969.pdf,6  In Stock,0.557055337,400 mm,400 mm,3 mm,3.8 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.24 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Taica/COH-1706-t3.0?qs=SH0Geuu7vjcXMc9BhzLhOg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-1706%20t3.0&utm_content=Taica
